name,lower,optimal,upper
uztwm_TLMO3-1,1,344.6633,400
uzfwm_TLMO3-1,1,77.422632,400
lztwm_TLMO3-1,1,401.00746,500
lzfpm_TLMO3-1,1,1094.7855,1200
lzfsm_TLMO3-1,1,130.31718,1000
adimp_TLMO3-1,0,0.058880167,0.4
uzk_TLMO3-1,0.1,0.14278683,0.7
lzpk_TLMO3-1,1e-05,0.00048281237,0.025
lzsk_TLMO3-1,0.001,0.092956977,0.3
zperc_TLMO3-1,1,26.824323,250
rexp_TLMO3-1,0,4.7642835,6
pctim_TLMO3-1,0,0.060125968,0.2
pfree_TLMO3-1,0,0.00084384637,1
riva_TLMO3-1,0,0.60613997,1
rserv_TLMO3-1,0,0.59472498,1
init_uztwc_TLMO3-1,0,26.861754,1000
init_uzfwc_TLMO3-1,0,155.89201,1000
init_lztwc_TLMO3-1,0,836.20263,1000
init_lzfsc_TLMO3-1,0,84.687631,1000
init_lzfpc_TLMO3-1,0,604.68333,1000
init_adimc_TLMO3-1,0,830.21533,1000
scf_TLMO3-1,0.7,0.83056074,2
mfmax_TLMO3-1,0.5,0.90341787,3
mfmin_TLMO3-1,0.01,0.16649441,0.49
uadj_TLMO3-1,0.01,0.10850259,0.4
si_TLMO3-1,1,3020.9264,3500
adc_a_TLMO3-1,0,0.4795963,1
adc_b_TLMO3-1,0.05,3.8489283,10
adc_c_TLMO3-1,0.05,0.050131754,10
unit_shape_TLMO3-1,1,2.4197591,3
unit_scale_TLMO3-1,0.1,0.50969988,4
