p_name,name,type,zone,value
mat_adj_12_TLMO3-1,mat_adj_12,fa,TLMO3-1,0.83489506
mat_adj_12_TLMO3-2,mat_adj_12,fa,TLMO3-2,1.6077344
mbase_TLMO3-1,mbase,snow,TLMO3-1,0
mbase_TLMO3-2,mbase,snow,TLMO3-2,0
mfmax_TLMO3-1,mfmax,snow,TLMO3-1,1.335705
mfmax_TLMO3-2,mfmax,snow,TLMO3-2,1.6088687
mfmin_TLMO3-1,mfmin,snow,TLMO3-1,0.25330991
mfmin_TLMO3-2,mfmin,snow,TLMO3-2,0.22842877
nmf_TLMO3-1,nmf,snow,TLMO3-1,0.15
nmf_TLMO3-2,nmf,snow,TLMO3-2,0.15
pctim_TLMO3-1,pctim,sac,TLMO3-1,0.044076563
pctim_TLMO3-2,pctim,sac,TLMO3-2,0.15105163
peadj_01_TLMO3-1,peadj_01,sac,TLMO3-1,0.8616
peadj_01_TLMO3-2,peadj_01,sac,TLMO3-2,0.2863
peadj_02_TLMO3-1,peadj_02,sac,TLMO3-1,0.9161
peadj_02_TLMO3-2,peadj_02,sac,TLMO3-2,0.2534
peadj_03_TLMO3-1,peadj_03,sac,TLMO3-1,0.9212
peadj_03_TLMO3-2,peadj_03,sac,TLMO3-2,0.284
peadj_04_TLMO3-1,peadj_04,sac,TLMO3-1,0.9651
peadj_04_TLMO3-2,peadj_04,sac,TLMO3-2,0.5336
peadj_05_TLMO3-1,peadj_05,sac,TLMO3-1,1.018
peadj_05_TLMO3-2,peadj_05,sac,TLMO3-2,0.6535
peadj_06_TLMO3-1,peadj_06,sac,TLMO3-1,1.0946
peadj_06_TLMO3-2,peadj_06,sac,TLMO3-2,0.7797
peadj_07_TLMO3-1,peadj_07,sac,TLMO3-1,1.1156
peadj_07_TLMO3-2,peadj_07,sac,TLMO3-2,0.8667
peadj_08_TLMO3-1,peadj_08,sac,TLMO3-1,1.0987
peadj_08_TLMO3-2,peadj_08,sac,TLMO3-2,0.8364
peadj_09_TLMO3-1,peadj_09,sac,TLMO3-1,1.1054
peadj_09_TLMO3-2,peadj_09,sac,TLMO3-2,0.8001
peadj_10_TLMO3-1,peadj_10,sac,TLMO3-1,1.0491
peadj_10_TLMO3-2,peadj_10,sac,TLMO3-2,0.7076
peadj_11_TLMO3-1,peadj_11,sac,TLMO3-1,0.9613
peadj_11_TLMO3-2,peadj_11,sac,TLMO3-2,0.303
peadj_12_TLMO3-1,peadj_12,sac,TLMO3-1,0.8731
peadj_12_TLMO3-2,peadj_12,sac,TLMO3-2,0.2785
peadj_TLMO3-1,peadj,sac,TLMO3-1,1
peadj_TLMO3-2,peadj,sac,TLMO3-2,1
pet_adj_01_TLMO3-1,pet_adj_01,fa,TLMO3-1,1.2444498
pet_adj_01_TLMO3-2,pet_adj_01,fa,TLMO3-2,0.5333052
pet_adj_02_TLMO3-1,pet_adj_02,fa,TLMO3-1,1.4439617
pet_adj_02_TLMO3-2,pet_adj_02,fa,TLMO3-2,1.3388387
pet_adj_03_TLMO3-1,pet_adj_03,fa,TLMO3-1,1.3338596
pet_adj_03_TLMO3-2,pet_adj_03,fa,TLMO3-2,1.3148677
pet_adj_04_TLMO3-1,pet_adj_04,fa,TLMO3-1,1.1451362
pet_adj_04_TLMO3-2,pet_adj_04,fa,TLMO3-2,1.2074385
pet_adj_05_TLMO3-1,pet_adj_05,fa,TLMO3-1,0.88740953
pet_adj_05_TLMO3-2,pet_adj_05,fa,TLMO3-2,0.89772566
pet_adj_06_TLMO3-1,pet_adj_06,fa,TLMO3-1,1.0357464
pet_adj_06_TLMO3-2,pet_adj_06,fa,TLMO3-2,0.95176486
pet_adj_07_TLMO3-1,pet_adj_07,fa,TLMO3-1,1.1003483
pet_adj_07_TLMO3-2,pet_adj_07,fa,TLMO3-2,1.0217734
pet_adj_08_TLMO3-1,pet_adj_08,fa,TLMO3-1,0.88554977
pet_adj_08_TLMO3-2,pet_adj_08,fa,TLMO3-2,1.1797408
pet_adj_09_TLMO3-1,pet_adj_09,fa,TLMO3-1,0.78898339
pet_adj_09_TLMO3-2,pet_adj_09,fa,TLMO3-2,0.97688113
pet_adj_10_TLMO3-1,pet_adj_10,fa,TLMO3-1,1.1229573
pet_adj_10_TLMO3-2,pet_adj_10,fa,TLMO3-2,0.92625029
pet_adj_11_TLMO3-1,pet_adj_11,fa,TLMO3-1,2.0327744
