name,lower,optimal,upper
uztwm_TLMO3-1,1,374.40403,400
uzfwm_TLMO3-1,1,226.93408,400
lztwm_TLMO3-1,1,152.23014,500
lzfpm_TLMO3-1,1,508.05555,1200
lzfsm_TLMO3-1,1,574.45514,1000
adimp_TLMO3-1,0,0.24698987,0.4
uzk_TLMO3-1,0.1,0.69999906,0.7
lzpk_TLMO3-1,1e-05,0.0048393636,0.025
lzsk_TLMO3-1,0.001,0.18260717,0.3
zperc_TLMO3-1,1,134.79296,250
rexp_TLMO3-1,0,4.7116371,6
pctim_TLMO3-1,0,0.044076563,0.2
pfree_TLMO3-1,0,0.49588138,1
riva_TLMO3-1,0,0.48684519,1
rserv_TLMO3-1,0,0.98860526,1
init_uztwc_TLMO3-1,0,169.58516,1000
init_uzfwc_TLMO3-1,0,0.0014351715,1000
init_lztwc_TLMO3-1,0,284.33662,1000
init_lzfsc_TLMO3-1,0,11.357792,1000
init_lzfpc_TLMO3-1,0,362.35597,1000
init_adimc_TLMO3-1,0,172.91706,1000
scf_TLMO3-1,0.7,1.0168509,2
mfmax_TLMO3-1,0.5,1.335705,3
mfmin_TLMO3-1,0.01,0.25330991,0.49
uadj_TLMO3-1,0.01,0.2187206,0.4
si_TLMO3-1,1,2961.6896,3500
adc_a_TLMO3-1,0,0.92632011,1
adc_b_TLMO3-1,0.05,1.6111355,10
adc_c_TLMO3-1,0.05,2.7872673,10
unit_shape_TLMO3-1,1,2.023174,3
unit_scale_TLMO3-1,0.1,0.69551954,4
map_adj_01_TLMO3-1,0.409292854359956,1.2972727,1.37562281980563
map_adj_02_TLMO3-1,0.283964082920011,0.84331062,1.04532542737884
map_adj_03_TLMO3-1,0.332260051573929,0.8892276,1.1922264225443
map_adj_04_TLMO3-1,0.30659682978267,1.0844296,1.30244263345285
map_adj_05_TLMO3-1,0.216436574410337,0.95724463,1.88143280279074
map_adj_06_TLMO3-1,0.191263968026772,1.1268947,1.61184290682785
map_adj_07_TLMO3-1,0.0822106774691707,1.3695139,5.43154737679734
map_adj_08_TLMO3-1,0.0782269914039686,0.079538064,20
map_adj_09_TLMO3-1,0.0975786420992374,0.84383761,20
map_adj_10_TLMO3-1,0.245891571232856,1.239218,1.45536946614488
map_adj_11_TLMO3-1,0.294221210482753,1.045386,1.04555947791591
map_adj_12_TLMO3-1,0.33853678052857,1.0209812,1.13381131038277
mat_adj_01_TLMO3-1,-1.44815637969999,0.36795886,3.46402785106974
mat_adj_02_TLMO3-1,-2.0684775736,-1.0279292,2.38805855652561
mat_adj_03_TLMO3-1,-1.8507092491,-0.25645641,1.71027746428537
mat_adj_04_TLMO3-1,-1.825500945,-0.13888724,1.86516282137369
mat_adj_05_TLMO3-1,-1.721716331,0.17537886,1.32486475047948
mat_adj_06_TLMO3-1,-2.188880515,-0.44747675,1.04373918636067
mat_adj_07_TLMO3-1,-2.643607247,-0.42567486,0.333167180509702
mat_adj_08_TLMO3-1,-2.16590138,-0.93691169,0.226905759954339
mat_adj_09_TLMO3-1,-3.133067428,-0.72018816,1.17272995555665
mat_adj_10_TLMO3-1,-2.301168335,1.4599985,2.16442184000004
