name,type,zone,value
init_of,lagk,NFNW1,-99
init_stor,lagk,NFNW1,-99
lagtbl_a,lagk,NSSW1,-99
lagtbl_b,lagk,NSSW1,-99
lagtbl_c,lagk,NSSW1,-99
lagtbl_d,lagk,NSSW1,0
ktbl_a,lagk,NSSW1,-99
ktbl_b,lagk,NSSW1,-99
ktbl_c,lagk,NSSW1,-99
ktbl_d,lagk,NSSW1,-99
lagk_lagmax,lagk,NSSW1,18.03519015
lagk_kmax,lagk,NSSW1,18.03519015
lagk_qmax,lagk,NSSW1,40261.5970048208
lagk_lagmin,lagk,NSSW1,2.576455736
lagk_kmin,lagk,NSSW1,0
lagk_qmin,lagk,NSSW1,265.848327497849
init_co,lagk,NSSW1,-99
init_if,lagk,NSSW1,-99
init_of,lagk,NSSW1,-99
init_stor,lagk,NSSW1,-99
