# 8/2008
# This file is used by fewsAdapter to 
# identify time series attributes for all OHD models in FEWS
#
# DATATYPE  DIMENSIONS	    OHD UNITS   IS MISSING ALLOWED    TIME CODE	     FEWS UNITS
#
SNSG		L		CM		NO		INST		MM
SNWE		L		MM		YES		INST		MM
SPEL		L		M		NO		INST		M
SQIB		L3/T		CMS		NO		INST		CMS
SQIE		L3/T		CMS		NO		INST		CMS
SQIN		L3/T		CMS		NO		INST		CMS
SQME		L3		CMSD		NO		ACCM		CMSD
SRSO		L3		CMSD		NO		INST		CMSD
SSTG		L		M		NO		INST		M
STG		L		M		YES		INST		M
STGE		L		M		NO		INST		M
STGH		L		M		YES		INST		M
STID		L		M		NO		INST		M
STW		L		M		NO		INST		M
SURO		L		MM		NO		ACCM		MM
SVIN		L/T		M/S		NO		INST		M/S
SWE		L		MM		NO		INST		MM
TAMN		TEMP		DEGC		YES		INST		DEGC
TAMX		TEMP		DEGC		YES		INST		DEGC
TAVG		TEMP		DEGC		NO		MEAN		DEGC
TID		L		M		YES		INST		M
TIDE		L		M		NO		INST		M
TWEL		L		M		YES		INST		M
TWSW		L		M		YES		INST		M
UZFWC		L		MM		NO		INST		MM
UZFWC_PERC      DLES		REAL		NO		INST		REAL
UZTWC		L		MM		NO		INST		MM
UZTWCADJ	L		MM		YES	 	INST		MM
UZTWC_PERC      DLES		REAL		NO		INST		REAL
VSQI		L3/T		CMS		NO		INST		CMS
VSQM		L3		CMSD		NO		ACCM		CMSD
ZELV		L		M		YES		INST		M
ZRX		DLES		PCTD		NO		INST		PCTD
# data type for mods 
SACBASEF	DLES		REAL		YES		INST		REAL
RAINSNOW        DLES    	INT 		YES		INST		INT 
MFC		DLES		REAL		YES		INST		REAL
UADJ		DLES		REAL		YES		INST		REAL
WE		L   		MM  		YES		INST		MM  
WEADD           L		MM  		YES		INST		MM  
WECHNG          L		MM  		YES		INST		MM  
AESCCHNG        DLES		PCTD		YES		INST		PCTD
# following 7 are data type for SSARREG MOD
FREEFLOW	DLES		REAL		YES		INST		REAL
SETQ		L3/T		CFS		YES		INST		CFS
SETH		L		FT		YES		INST		FT
SETS		L3		ACFT		YES		INST		ACFT
SETDQ		L3		CFSD		YES		ACCM		CFSD
SETDH		L		FT		YES		INST		FT
SETDS		L3		ACFT		YES		INST		ACFT
#for RESNGL
SETQMEAN        L3/T            CMS             YES             MEAN            CMS
# following 6 are data type for APICONT MOD
AEICQN		L		MM		NO		INST		MM
AIADJ		L		MM		NO		INST		MM
APICBASF	DLES		REAL		NO		INST		REAL
SMID		L		MM		NO		INST		MM
FI		TEMP		DEGC		NO		INST		DEGC
FEI             DLES		REAL		NO		INST		REAL
# for snow17 output state
ACCMAX 		L   		MM  		YES		INST		MM  
NEGHS  		L   		MM  		YES		INST		MM  
LIQW   		L   		MM  		YES		INST		MM  
TINDEX 		TEMP		DEGC		YES		INST		DEGC
SNDPT   	L		CM		NO		INST		MM
SNTMP  		TEMP		DEGC		YES		INST		DEGC
TAPREV 		TEMP		DEGC		YES		INST		DEGC
SB     		L   		MM  		YES		INST		MM  
SBAESC 		DLES		PCTD		YES		INST		PCTD
SBWS   		L   		MM  		YES		INST		MM  
STORGE 		L   		MM  		YES		INST		MM  
AEADJ  		L   		MM  		YES		INST		MM  
PQNET  		L   		MM  		YES		INST		MM  
# for FFH datatype
FFH 		L		IN		YES		ACCM		IN
# for FFG datatype
FFG             L               IN              YES             ACCM            IN
THRESHR         L               IN              YES             ACCM            IN
