We_Ai,As
0,0.0500000000000942
0.1,0.108000000000096
0.2,0.219200000000086
0.3,0.325100000000074
0.4,0.427400000000063
0.5,0.527000000000052
0.6,0.624600000000041
0.7,0.720500000000031
0.8,0.81490000000002
0.9,0.90800000000001
1,1
