month,basin,zone,lower,upper,variable
3,ALPW4,ALPW4-1,33.5794589485714,85.4168428457143,map
4,ALPW4,ALPW4-1,32.0052148457143,81.77641252,map
5,ALPW4,ALPW4-1,47.1472768,84.1286012914286,map
6,ALPW4,ALPW4-1,28.0401649,63.1861343771429,map
7,ALPW4,ALPW4-1,16.06095975,46.56603336,map
8,ALPW4,ALPW4-1,18.95382925,41.3991769714286,map
9,ALPW4,ALPW4-1,29.04983395,62.1799590971429,map
10,ALPW4,ALPW4-1,32.8886754685714,64.045465,map
11,ALPW4,ALPW4-1,43.5938653588235,89.8716643,map
12,ALPW4,ALPW4-1,40.3664905588235,93.2376289705882,map
1,ALRW1,ALRW1-1,184.02431445,334.183960366667,map
2,ALRW1,ALRW1-1,136.3687138,214.884887548571,map
3,ALRW1,ALRW1-1,160.3030322,248.657416211111,map
4,ALRW1,ALRW1-1,117.5799655,187.207986554286,map
5,ALRW1,ALRW1-1,83.4567916114286,146.279965794286,map
6,ALRW1,ALRW1-1,57.0444651771428,113.1748816,map
7,ALRW1,ALRW1-1,21.1770595,47.2937745657143,map
8,ALRW1,ALRW1-1,23.41574565,46.8427910342857,map
9,ALRW1,ALRW1-1,52.6572099,98.3300083542857,map
10,ALRW1,ALRW1-1,119.5456207,193.16129008,map
11,ALRW1,ALRW1-1,217.938285411429,344.734919948571,map
12,ALRW1,ALRW1-1,178.71691968,291.133275274286,map
1,ANAW1,ANAW1-1,29.10655215,78.1244948628572,map
2,ANAW1,ANAW1-1,24.57883705,67.7519215371429,map
3,ANAW1,ANAW1-1,38.6527167,88.9721040685714,map
4,ANAW1,ANAW1-1,37.77098745,88.0885135428572,map
5,ANAW1,ANAW1-1,48.81549165,99.9307548171429,map
6,ANAW1,ANAW1-1,38.8036181,78.2568586171429,map
7,ANAW1,ANAW1-1,16.67969105,34.7662848342857,map
8,ANAW1,ANAW1-1,13.92254645,31.8843696285714,map
9,ANAW1,ANAW1-1,18.4499631,41.0218273142857,map
10,ANAW1,ANAW1-1,24.8453656,59.3563666457143,map
11,ANAW1,ANAW1-1,36.7470058628571,92.0703368588235,map
12,ANAW1,ANAW1-1,32.5346524457143,87.9369836529412,map
1,ANTI1,ANTI1-1,43.2858410742857,96.5851793028572,map
2,ANTI1,ANTI1-1,29.9389321028571,77.3401711657143,map
3,ANTI1,ANTI1-1,34.482024,84.18903152,map
4,ANTI1,ANTI1-1,33.77695175,80.8855017142858,map
5,ANTI1,ANTI1-1,44.2725429,93.0192290342857,map
6,ANTI1,ANTI1-1,32.68844745,64.1129012944445,map
7,ANTI1,ANTI1-1,17.0884342,37.5413171222222,map
8,ANTI1,ANTI1-1,14.62766315,34.3026597833333,map
9,ANTI1,ANTI1-1,20.6881603,49.2780174857143,map
10,ANTI1,ANTI1-1,31.59600615,68.42137192,map
11,ANTI1,ANTI1-1,44.4988725882353,93.3377692176471,map
12,ANTI1,ANTI1-1,44.8496189470588,103.570103935294,map
1,APLO3,APLO3-1,123.78469655,188.493119894444,map
2,APLO3,APLO3-1,111.98859365,170.579676055556,map
3,APLO3,APLO3-1,105.48701915,165.7960997,map
4,APLO3,APLO3-1,53.48086205,106.908219,map
5,APLO3,APLO3-1,35.88143065,83.6085021828571,map
6,APLO3,APLO3-1,16.2182302,48.9590065485714,map
7,APLO3,APLO3-1,3.87268085,21.7668326228572,map
8,APLO3,APLO3-1,4.3116246,27.2886148228572,map
