# A tibble: 158 x 4
    name                   lower    optimal    upper
    <chr>                  <dbl>      <dbl>    <dbl>
110 unit_scale_TLMO3-2   0.1        0.839      4    
111 map_adj_01_TLMO3-2   0.409      1.05       1.38 
112 map_adj_02_TLMO3-2   0.284      0.728      1.05 
113 map_adj_03_TLMO3-2   0.332      0.879      1.19 
114 map_adj_04_TLMO3-2   0.307      0.979      1.30 
115 map_adj_05_TLMO3-2   0.216      0.509      1.88 
116 map_adj_06_TLMO3-2   0.191      0.271      1.61 
117 map_adj_07_TLMO3-2   0.0822     0.977      5.43 
118 map_adj_08_TLMO3-2   0.0782     0.109     20    
119 map_adj_09_TLMO3-2   0.0976     1.54      20    
120 map_adj_10_TLMO3-2   0.246      0.575      1.46 
121 map_adj_11_TLMO3-2   0.294      1.03       1.05 
122 map_adj_12_TLMO3-2   0.339      1.12       1.13 
123 mat_adj_01_TLMO3-2  -1.45       0.164      3.46 
124 mat_adj_02_TLMO3-2  -2.07      -0.320      2.39 
125 mat_adj_03_TLMO3-2  -1.85      -1.58       1.71 
126 mat_adj_04_TLMO3-2  -1.83       0.591      1.87 
127 mat_adj_05_TLMO3-2  -1.72       0.220      1.32 
128 mat_adj_06_TLMO3-2  -2.19      -1.09       1.04 
129 mat_adj_07_TLMO3-2  -2.64       0.326      0.333
130 mat_adj_08_TLMO3-2  -2.17      -0.835      0.227
131 mat_adj_09_TLMO3-2  -3.13      -0.386      1.17 
132 mat_adj_10_TLMO3-2  -2.30       0.887      2.16 
133 mat_adj_11_TLMO3-2  -2.13      -1.05       2.20 
134 mat_adj_12_TLMO3-2  -1.02       1.61       2.04 
135 pet_adj_01_TLMO3-2   0.272      0.533      2.92 
136 pet_adj_02_TLMO3-2   0.535      1.34       1.79 
137 pet_adj_03_TLMO3-2   0.850      1.31       1.47 
138 pet_adj_04_TLMO3-2   0.949      1.21       1.22 
139 pet_adj_05_TLMO3-2   0.870      0.898      1.12 
140 pet_adj_06_TLMO3-2   0.843      0.952      1.11 
141 pet_adj_07_TLMO3-2   0.836      1.02       1.16 
142 pet_adj_08_TLMO3-2   0.789      1.18       1.19 
143 pet_adj_09_TLMO3-2   0.783      0.977      1.29 
144 pet_adj_10_TLMO3-2   0.641      0.926      1.45 
145 pet_adj_11_TLMO3-2   0.385      1.50       2.11 
146 pet_adj_12_TLMO3-2   0.133      0.637      2.84 
147 ptps_adj_01_TLMO3-2  0.109      2.34       4.76 
148 ptps_adj_02_TLMO3-2  0.0240     2.19       4.47 
149 ptps_adj_03_TLMO3-2  0.00238   13.1       20    
150 ptps_adj_04_TLMO3-2  0          3.71       4.74 
151 ptps_adj_05_TLMO3-2  0         19.3       20    
152 ptps_adj_06_TLMO3-2  0.34       0.404      1.1  
153 ptps_adj_07_TLMO3-2  0.9        0.914      1.1  
154 ptps_adj_08_TLMO3-2  0.9        1.09       1.1  
155 ptps_adj_09_TLMO3-2  0.9        1.01       1.1  
156 ptps_adj_10_TLMO3-2  0          0.184      1.59 
157 ptps_adj_11_TLMO3-2  0         10.4       20    
158 ptps_adj_12_TLMO3-2  0.0226     7.75      20    
